id_pedido,fecha_solicitud,id_cliente,peso,volumen,fecha_entrega
450001208,2023-02-25,C0000220,103.36,0.7690,2023-02-26
450001213,2025-01-11,C0000274,95.34,0.4233,2025-01-12
450001214,2024-12-21,C0000032,8.83,0.0567,2024-12-23
450001232,2024-12-22,C0000172,13.82,0.2106,2024-12-24
450001269,2024-11-23,C0000090,114.12,0.4862,2024-11-24
450001274,2025-01-11,C0000055,52.71,0.3194,2025-01-12
450001299,2023-05-17,C0000162,128.25,0.5386,2023-05-18
450001357,2024-02-18,C0000290,105.03,0.6113,2024-02-20
450001369,2025-04-11,C0000290,40.48,0.5115,2025-04-13
450001387,2023-04-15,C0000064,124.24,0.6932,2023-04-16
450001405,2023-03-07,C0000224,22.18,0.3602,2023-03-10
450001420,2023-07-03,C0000252,163.35,1.1369,2023-07-05
450001422,2024-08-23,C0000135,58.53,0.9812,2024-08-25
450001432,2024-11-10,C0000258,6.22,0.0302,2024-11-11
450001434,2023-09-02,C0000049,54.83,0.2665,2023-09-04
450001445,2025-03-02,C0000293,6.25,0.0304,2025-03-04
450001477,2024-08-05,C0000005,41.93,0.1786,2024-08-07
450001491,2024-06-28,C0000281,145.45,1.1345,2024-07-03
450001517,2024-03-21,C0000065,88.56,0.6376,2024-03-22
450001524,2023-02-18,C0000268,49.10,0.2239,2023-02-20
450001557,2023-07-05,C0000219,34.62,0.4798,2023-07-06
450001596,2024-12-08,C0000175,132.51,0.7792,2024-12-09
450001597,2024-05-11,C0000260,142.51,1.0090,2024-05-12
450001631,2024-02-06,C0000147,32.00,0.1978,2024-02-07
450001639,2025-06-18,C0000266,27.18,0.1370,2025-06-19
450001670,2024-01-27,C0000057,128.48,0.5628,2024-01-28
450001674,2023-06-14,C0000158,146.37,0.8255,2023-06-16
450001679,2023-12-10,C0000059,66.09,0.4560,2023-12-11
450001684,2024-04-06,C0000244,47.55,0.2140,2024-04-08
450001697,2025-02-04,C0000294,59.14,0.9446,2025-02-06
450001719,2024-07-13,C0000292,108.89,0.5749,2024-07-15
450001726,2024-10-31,C0000237,124.42,0.7689,2024-11-02
450001819,2023-11-02,C0000067,15.64,0.2157,2023-11-04
450001860,2023-06-20,C0000062,140.63,0.9028,2023-06-21
450001863,2025-01-31,C0000032,67.87,0.2973,2025-02-01
450001893,2024-07-22,C0000190,83.27,0.5995,2024-07-23
450001924,2024-05-19,C0000039,131.68,0.9086,2024-05-20
450001928,2024-04-05,C0000015,89.92,0.9792,2024-04-06
450001965,2023-03-12,C0000272,96.03,0.4667,2023-03-13
450002016,2023-03-13,C0000284,23.36,0.1037,2023-03-15
450002027,2023-02-21,C0000155,46.04,0.2182,2023-02-23
450002043,2025-04-15,C0000066,37.35,0.2017,2025-04-16
450002087,2024-03-12,C0000217,37.21,0.2590,2024-03-15
450002098,2023-06-27,C0000262,4.36,0.0791,2023-06-30
450002099,2023-12-06,C0000204,159.86,0.8057,2023-12-08
450002143,2023-08-10,C0000228,12.00,0.1979,2023-08-12
450002170,2023-10-10,C0000157,15.18,0.2689,2023-10-13
450002179,2023-02-15,C0000201,81.57,0.5530,2023-02-17
450002186,2023-01-03,C0000197,48.58,0.2390,2023-01-05
450002198,2024-12-12,C0000008,26.01,0.1779,2024-12-14
450002200,2023-09-28,C0000059,116.11,0.6549,2023-09-30
450002231,2023-12-23,C0000070,47.28,0.7626,2023-12-24
450002274,2024-01-17,C0000255,66.40,0.3705,2024-01-18
450002280,2024-07-17,C0000189,150.51,1.1559,2024-07-18
450002330,2025-06-07,C0000115,153.03,0.8631,2025-06-09
450002331,2025-05-21,C0000217,53.57,0.2732,2025-05-22
450002338,2023-11-15,C0000274,30.51,0.2069,2023-11-16
450002376,2024-09-24,C0000261,137.10,0.8884,2024-09-25
450002394,2023-12-13,C0000184,138.30,0.7634,2023-12-14
450002417,2024-04-11,C0000274,53.04,0.9627,2024-04-13
450002537,2023-06-22,C0000008,89.16,0.6740,2023-06-23
450002538,2025-04-04,C0000023,127.86,0.5907,2025-04-06
450002557,2023-02-07,C0000218,83.48,0.5961,2023-02-09
450002570,2023-03-13,C0000145,84.98,0.5200,2023-03-14
450002578,2024-09-07,C0000240,129.32,0.9000,2024-09-09
450002582,2025-04-09,C0000007,22.37,0.0980,2025-04-10
450002598,2024-06-18,C0000234,0.97,0.0052,2024-06-21
450002610,2023-07-23,C0000067,20.38,0.1358,2023-07-26
450002619,2025-06-27,C0000091,14.60,0.1007,2025-06-29
450002673,2023-08-14,C0000202,78.25,0.3427,2023-08-15
450002685,2024-08-29,C0000255,31.20,0.1516,2024-08-31
450002706,2023-12-13,C0000138,55.88,0.2783,2023-12-14
450002715,2023-09-14,C0000179,59.80,0.7815,2023-09-16
450002730,2024-06-11,C0000272,90.65,0.6201,2024-06-13
450002758,2024-06-25,C0000268,52.06,0.5481,2024-06-26
450002785,2023-04-29,C0000106,147.87,0.6743,2023-05-01
450002815,2024-08-12,C0000273,18.21,0.1300,2024-08-14
450002825,2025-02-02,C0000131,3.75,0.0554,2025-02-05
450002837,2024-03-25,C0000256,4.88,0.0211,2024-03-26
450002853,2023-06-13,C0000195,42.58,0.3015,2023-06-16
450002870,2024-11-15,C0000126,136.70,0.8940,2024-11-16
450002873,2023-05-04,C0000261,94.37,0.4417,2023-05-05
450002878,2024-02-28,C0000137,71.50,0.3089,2024-03-01
450002888,2023-05-24,C0000161,134.84,0.6796,2023-05-25
450002897,2024-04-29,C0000270,6.18,0.0338,2024-04-30
450002990,2025-05-10,C0000214,108.05,0.4798,2025-05-12
450002991,2025-04-01,C0000047,152.97,0.8077,2025-04-02
450002993,2024-03-28,C0000116,116.24,0.5301,2024-03-29
450003045,2024-04-04,C0000106,29.95,0.3758,2024-04-06
450003072,2023-10-13,C0000261,44.44,0.2640,2023-10-14
450003093,2023-10-19,C0000161,80.41,0.3763,2023-10-20
450003113,2023-03-31,C0000142,50.33,0.2204,2023-04-01
450003154,2024-10-10,C0000277,69.75,0.4771,2024-10-11
450003178,2024-08-10,C0000278,149.63,0.6284,2024-08-12
450003189,2023-08-09,C0000266,87.47,0.5196,2023-08-10
450003196,2023-03-24,C0000279,63.93,0.4450,2023-03-25
450003235,2023-08-07,C0000160,12.37,0.1307,2023-08-09
450003252,2024-04-16,C0000215,122.85,0.6560,2024-04-18
450003272,2023-10-25,C0000126,51.88,0.2957,2023-10-26
450003354,2024-01-26,C0000280,28.72,0.1258,2024-01-27
450003357,2023-08-24,C0000236,121.41,0.7940,2023-08-25
450003389,2024-07-27,C0000027,47.06,0.2654,2024-07-28
450003433,2025-05-02,C0000297,81.91,0.3489,2025-05-03
450003434,2023-10-27,C0000236,63.81,0.3944,2023-10-29
450003453,2024-02-02,C0000278,39.75,0.2528,2024-02-04
450003461,2025-06-03,C0000260,68.76,0.4208,2025-06-05
450003475,2024-02-27,C0000226,69.34,0.3702,2024-02-28
450003524,2024-12-22,C0000081,4.52,0.0217,2024-12-24
450003528,2024-04-03,C0000300,5.01,0.0213,2024-04-06
450003529,2023-01-15,C0000288,37.65,0.1965,2023-01-17
450003544,2024-11-14,C0000221,19.19,0.0990,2024-11-16
450003549,2023-06-13,C0000292,143.46,0.7747,2023-06-14
450003569,2023-01-22,C0000128,3.27,0.0554,2023-01-24
450003580,2024-10-28,C0000267,36.10,0.2014,2024-10-30
450003594,2023-06-07,C0000002,149.34,0.6541,2023-06-09
450003598,2024-01-08,C0000191,133.35,0.7521,2024-01-09
450003602,2024-05-11,C0000240,32.87,0.2327,2024-05-12
450003608,2025-01-04,C0000271,44.35,0.3034,2025-01-06
450003622,2023-05-25,C0000074,2.97,0.0193,2023-05-28
450003647,2024-05-05,C0000280,98.40,0.4251,2024-05-07
450003655,2024-03-14,C0000083,68.69,0.4698,2024-03-16
450003689,2023-09-28,C0000265,108.11,0.5514,2023-09-29
450003721,2024-02-20,C0000283,66.51,0.3990,2024-02-22
450003723,2025-06-14,C0000219,10.21,0.0460,2025-06-17
450003729,2025-02-22,C0000226,113.21,0.5162,2025-02-23
450003730,2025-04-05,C0000285,2.84,0.0195,2025-04-07
450003738,2023-01-16,C0000179,14.99,0.0720,2023-01-18
450003739,2023-08-11,C0000107,91.58,0.5605,2023-08-12
450003751,2025-05-04,C0000268,35.93,0.2156,2025-05-05
450003771,2023-12-06,C0000036,48.90,0.3403,2023-12-12
450003803,2023-09-09,C0000263,161.50,1.2113,2023-09-10
450003834,2023-07-29,C0000286,42.97,0.2114,2023-08-01
450003881,2024-04-18,C0000126,20.66,0.1488,2024-04-20
450003884,2024-03-17,C0000044,112.93,0.6166,2024-03-18
450003927,2024-11-02,C0000228,53.93,0.7439,2024-11-03
450004002,2023-06-03,C0000183,74.70,0.7395,2023-06-05
450004009,2023-08-26,C0000160,88.14,0.5711,2023-08-27
450004018,2024-03-05,C0000141,28.77,0.1502,2024-03-08
450004046,2023-07-16,C0000293,58.76,0.2538,2023-07-18
450004059,2024-11-28,C0000193,123.20,0.6727,2024-12-07
450004063,2023-05-29,C0000294,100.59,0.5734,2023-05-31
450004068,2023-04-07,C0000132,2.95,0.0539,2023-04-09
450004075,2025-03-30,C0000277,32.40,0.3950,2025-04-02
450004114,2023-07-27,C0000115,129.44,0.5436,2023-07-28
450004139,2025-06-18,C0000262,48.26,0.2808,2025-06-19
450004189,2024-11-16,C0000240,136.62,0.5738,2024-11-17
450004200,2024-06-10,C0000222,108.88,0.4703,2024-06-11
450004206,2024-09-01,C0000262,58.97,0.3078,2024-09-03
450004234,2024-11-15,C0000023,51.45,0.9113,2024-11-16
450004236,2023-04-26,C0000171,140.07,0.7984,2023-04-28
450004337,2023-05-29,C0000260,53.50,0.3178,2023-05-30
450004372,2023-08-05,C0000196,2.72,0.0137,2023-08-06
450004384,2023-01-29,C0000083,135.90,0.9622,2023-01-31
450004392,2024-10-27,C0000096,76.95,0.3878,2024-10-29
450004405,2023-02-28,C0000273,98.33,0.7552,2023-03-01
450004423,2024-10-03,C0000215,15.79,0.0872,2024-10-05
450004437,2023-08-29,C0000119,122.66,0.5741,2023-08-31
450004457,2023-12-12,C0000258,101.68,0.7016,2023-12-13
450004463,2023-04-23,C0000248,132.80,0.8685,2023-04-24
450004504,2024-09-25,C0000204,131.71,0.6796,2024-09-27
450004515,2024-12-04,C0000247,117.12,0.5903,2024-12-06
450004537,2023-11-22,C0000286,142.79,0.6854,2023-11-24
450004560,2024-08-06,C0000281,15.79,0.0663,2024-08-07
450004568,2023-09-19,C0000129,62.50,0.3225,2023-09-20
450004595,2023-09-11,C0000071,61.19,0.2937,2023-09-13
450004601,2025-02-01,C0000070,9.86,0.1592,2025-02-02
450004615,2023-09-30,C0000259,115.27,0.5671,2023-10-02
450004623,2025-06-22,C0000215,112.34,0.6808,2025-06-24
450004624,2024-09-04,C0000297,92.42,0.5822,2024-09-05
450004658,2024-06-29,C0000127,47.67,0.2774,2024-07-01
450004671,2024-12-11,C0000278,128.80,0.6182,2024-12-13
450004699,2023-02-10,C0000183,52.58,0.3975,2023-02-12
450004726,2023-06-06,C0000261,39.55,0.2183,2023-06-08
450004728,2025-03-24,C0000199,45.31,0.6680,2025-03-26
450004737,2024-09-06,C0000171,13.90,0.0951,2024-09-07
450004743,2023-07-04,C0000172,68.18,0.5072,2023-07-06
450004764,2023-08-05,C0000082,25.38,0.1614,2023-08-06
450004772,2023-12-10,C0000103,27.25,0.1619,2023-12-12
450004773,2024-05-05,C0000291,66.91,0.4577,2024-05-07
450004792,2025-04-14,C0000248,55.26,0.2785,2025-04-16
450004887,2024-06-05,C0000196,2.86,0.0216,2024-06-07
450004893,2023-11-17,C0000269,23.25,0.1604,2023-11-20
450004895,2024-02-25,C0000005,100.75,0.4292,2024-02-27
450004907,2025-06-20,C0000223,63.84,0.2873,2025-06-22
450004918,2024-03-23,C0000243,102.18,0.5211,2024-03-25
450004951,2023-04-13,C0000103,119.48,0.6953,2023-04-14
450005004,2023-11-21,C0000186,11.16,0.0522,2023-11-24
450005015,2024-06-22,C0000087,97.98,0.7407,2024-06-24
450005057,2024-07-06,C0000084,24.78,0.1368,2024-07-07
450005096,2024-08-13,C0000267,40.35,0.2469,2024-08-14
450005151,2023-04-02,C0000198,40.38,0.2326,2023-04-05
450005209,2025-01-01,C0000253,56.81,0.2727,2025-01-02
450005219,2024-09-08,C0000175,92.34,0.4155,2024-09-09
450005243,2023-08-09,C0000156,83.72,0.5274,2023-08-11
450005257,2025-05-29,C0000033,92.98,0.5523,2025-05-31
450005268,2023-06-07,C0000136,77.84,0.4530,2023-06-09
450005297,2023-12-22,C0000293,95.47,0.5384,2023-12-23
450005308,2023-07-13,C0000155,72.29,0.3643,2023-07-14
450005335,2025-01-18,C0000291,89.05,0.6038,2025-01-19
450005367,2023-12-22,C0000070,14.96,0.2270,2023-12-24
450005396,2023-01-01,C0000178,77.40,0.4272,2023-01-03
450005426,2025-05-07,C0000157,111.85,0.5771,2025-05-09
450005427,2023-03-30,C0000271,48.27,0.3215,2023-03-31
450005452,2023-06-17,C0000133,27.59,0.2119,2023-06-19
450005466,2025-06-04,C0000055,123.44,0.9036,2025-06-05
450005469,2023-10-14,C0000267,29.65,0.2117,2023-10-15
450005479,2024-12-12,C0000260,111.44,0.6887,2024-12-14
450005488,2023-03-20,C0000277,30.40,0.4695,2023-03-22
450005518,2023-07-31,C0000164,59.93,0.3164,2023-08-01
450005529,2023-05-04,C0000251,160.60,0.9058,2023-05-06
450005538,2025-03-26,C0000106,110.29,0.5426,2025-03-28
450005559,2025-06-25,C0000272,141.10,0.5926,2025-06-27
450005602,2023-09-28,C0000243,25.74,0.1143,2023-09-29
450005620,2023-02-08,C0000217,134.90,0.5909,2023-02-10
450005665,2025-04-22,C0000105,40.28,0.2417,2025-04-23
450005678,2025-05-22,C0000167,76.50,0.5233,2025-05-23
450005705,2024-01-23,C0000103,109.89,0.8242,2024-01-24
450005707,2023-06-16,C0000118,125.59,0.7008,2023-06-17
450005717,2025-03-30,C0000133,117.56,0.7335,2025-04-01
450005726,2025-01-06,C0000273,6.13,0.0471,2025-01-09
450005733,2024-12-27,C0000132,103.22,0.6503,2024-12-28
450005735,2025-02-06,C0000037,120.61,0.5572,2025-02-08
450005747,2025-05-28,C0000164,62.50,0.3975,2025-05-29
450005773,2023-08-05,C0000178,104.51,0.4390,2023-08-07
450005800,2024-06-25,C0000254,112.42,0.8094,2024-06-27
450005801,2024-08-11,C0000278,121.03,0.5301,2024-08-13
450005832,2024-07-08,C0000220,86.18,0.6464,2024-07-10
450005893,2024-10-17,C0000091,14.47,0.0712,2024-10-19
450005935,2024-07-02,C0000300,37.25,0.1721,2024-07-03
450005942,2024-09-25,C0000150,47.39,0.7345,2024-09-27
450005952,2024-04-13,C0000022,137.16,0.7653,2024-04-14
450006018,2023-05-18,C0000281,52.40,0.2672,2023-05-19
450006045,2025-02-23,C0000148,16.74,0.0984,2025-03-05
450006088,2024-09-11,C0000094,111.97,0.6114,2024-09-12
450006093,2023-08-18,C0000279,51.77,0.2858,2023-08-19
450006094,2023-11-06,C0000132,65.56,0.4917,2023-11-08
450006096,2024-05-14,C0000087,38.48,0.2147,2024-05-21
450006109,2024-10-18,C0000084,49.57,0.2558,2024-10-20
450006145,2023-12-07,C0000269,21.38,0.1193,2023-12-10
450006249,2024-05-06,C0000294,118.61,0.6476,2024-05-07
450006250,2023-02-06,C0000243,90.16,0.6762,2023-02-07
450006256,2023-06-28,C0000296,8.92,0.0519,2023-06-29
450006260,2024-04-25,C0000139,152.26,0.8405,2024-04-27
450006266,2023-07-08,C0000057,56.88,0.2764,2023-07-10
450006268,2024-02-11,C0000289,83.71,0.6128,2024-02-12
450006288,2024-08-19,C0000125,61.34,0.4011,2024-08-20
450006347,2024-03-30,C0000270,75.94,0.3691,2024-03-31
450006395,2025-03-27,C0000040,44.39,0.1998,2025-03-28
450006411,2023-04-21,C0000139,53.28,0.2685,2023-04-23
450006447,2024-03-02,C0000047,48.84,0.3663,2024-03-05
450006468,2023-02-06,C0000073,48.48,0.5984,2023-02-08
450006483,2023-08-24,C0000250,74.21,0.4942,2023-08-25
450006490,2023-10-30,C0000272,39.01,0.2949,2023-11-02
450006492,2024-07-08,C0000018,4.52,0.0233,2024-07-11
450006495,2024-07-24,C0000177,110.97,0.6925,2024-07-26
450006522,2023-07-09,C0000289,33.14,0.2506,2023-07-12
450006538,2024-01-05,C0000251,40.29,0.2345,2024-01-08
450006546,2024-07-08,C0000250,59.04,0.4322,2024-07-10
450006609,2025-01-09,C0000285,113.27,0.7883,2025-01-11
450006614,2024-05-09,C0000003,3.50,0.0170,2024-05-12
450006623,2024-08-31,C0000138,4.67,0.0230,2024-09-02
450006662,2024-12-09,C0000275,41.05,0.2833,2024-12-10
450006664,2024-06-26,C0000198,35.94,0.1854,2024-06-27
450006667,2025-01-14,C0000257,103.74,0.4855,2025-01-15
450006671,2023-12-20,C0000272,38.24,0.5926,2023-12-22
450006698,2023-05-24,C0000282,89.60,0.6451,2023-05-26
450006739,2024-01-25,C0000183,62.32,0.3141,2024-01-27
450006758,2023-08-28,C0000062,76.81,0.5899,2023-08-29
450006776,2024-07-15,C0000197,96.83,0.5055,2024-07-17
450006777,2024-06-13,C0000271,32.21,0.3392,2024-06-14
450006778,2024-03-25,C0000273,88.64,0.3989,2024-03-26
450006795,2025-04-09,C0000285,145.54,0.9169,2025-04-10
450006807,2024-05-06,C0000214,35.54,0.2025,2024-05-08
450006854,2024-07-23,C0000291,143.52,0.9300,2024-07-25
450006882,2024-01-07,C0000245,99.90,0.5095,2024-01-08
450006916,2023-01-24,C0000077,117.85,0.6788,2023-01-26
450006931,2023-09-25,C0000207,41.39,0.2483,2023-09-26
450006952,2023-11-14,C0000082,22.16,0.1502,2023-11-15
450006957,2024-08-02,C0000254,29.64,0.2134,2024-08-04
450006961,2023-10-31,C0000269,13.00,0.0632,2023-11-02
450006964,2024-07-03,C0000272,117.13,0.7801,2024-07-05
450006979,2025-02-23,C0000125,15.47,0.0678,2025-02-25
450006992,2025-01-03,C0000014,123.86,0.9661,2025-01-05
450007036,2025-06-15,C0000131,55.10,0.6800,2025-06-17
450007038,2023-01-22,C0000008,97.73,0.6098,2023-01-23
450007042,2024-09-16,C0000299,2.99,0.0183,2024-09-17
450007070,2025-03-16,C0000295,65.92,0.4074,2025-03-17
450007077,2023-11-07,C0000263,80.33,0.5012,2023-11-08
450007126,2023-02-12,C0000258,99.54,0.7406,2023-02-14
450007152,2023-06-15,C0000068,103.17,0.5695,2023-06-17
450007177,2023-01-25,C0000067,82.25,0.5132,2023-01-26
450007221,2025-05-09,C0000023,127.76,0.5749,2025-05-11
450007223,2024-07-01,C0000281,23.17,0.1223,2024-07-04
450007233,2023-12-31,C0000182,12.59,0.0536,2024-01-03
450007253,2025-01-19,C0000134,9.36,0.0528,2025-01-21
450007338,2024-12-03,C0000073,87.57,0.5727,2024-12-04
450007366,2024-11-30,C0000296,60.08,0.4470,2024-12-01
450007372,2023-08-10,C0000127,20.78,0.3834,2023-08-11
450007417,2024-05-13,C0000073,39.93,0.2180,2024-05-14
450007426,2024-06-12,C0000254,81.83,0.5254,2024-06-14
450007483,2024-08-04,C0000292,83.27,0.4397,2024-08-05
450007491,2023-12-07,C0000269,37.73,0.1652,2023-12-09
450007551,2023-01-25,C0000267,114.13,0.4999,2023-01-26
450007556,2024-11-23,C0000252,10.01,0.0505,2024-11-24
450007618,2023-11-01,C0000242,68.02,0.4244,2023-11-02
450007631,2024-04-23,C0000252,37.70,0.6080,2024-04-24
450007637,2025-04-11,C0000282,75.26,0.3432,2025-04-13
450007653,2023-10-06,C0000104,81.68,0.3921,2023-10-08
450007663,2024-07-09,C0000051,81.16,0.6038,2024-07-10
450007682,2025-02-03,C0000259,148.20,0.9692,2025-02-04
450007730,2025-01-21,C0000085,54.61,0.8060,2025-01-23
450007741,2023-09-17,C0000247,138.99,0.8923,2023-09-18
450007743,2024-02-15,C0000039,22.79,0.3063,2024-02-17
450007745,2023-07-07,C0000215,117.81,0.6150,2023-07-08
450007756,2024-01-17,C0000260,10.33,0.0552,2024-01-20
450007772,2023-12-09,C0000254,32.63,0.2310,2023-12-11
450007786,2023-09-11,C0000267,109.96,0.5278,2023-09-12
450007805,2024-12-26,C0000265,138.89,0.6833,2024-12-27
450007847,2025-05-29,C0000097,116.96,0.9883,2025-05-30
450007848,2024-08-05,C0000297,94.39,0.5607,2024-08-07
450007869,2023-05-30,C0000222,140.15,0.7484,2023-05-31
450007922,2024-08-06,C0000274,6.12,0.0415,2024-08-09
450007929,2024-03-08,C0000079,140.48,0.7333,2024-03-10
450007956,2023-02-02,C0000063,73.35,0.5545,2023-02-04
450007972,2025-01-12,C0000085,19.60,0.1364,2025-01-14
450007976,2023-12-19,C0000005,38.85,0.2354,2023-12-22
450008018,2024-07-24,C0000281,49.69,0.3041,2024-07-27
450008031,2023-10-24,C0000276,136.90,1.0267,2023-10-25
450008037,2024-10-13,C0000019,47.68,0.3576,2024-10-15
450008048,2023-08-03,C0000208,68.94,0.4715,2023-08-05
450008052,2023-06-02,C0000274,70.93,0.3660,2023-06-04
450008079,2023-05-25,C0000267,7.80,0.0374,2023-05-27
450008092,2024-12-19,C0000240,12.46,0.0628,2024-12-21
450008162,2024-06-02,C0000164,59.04,0.3613,2024-06-03
450008173,2023-05-01,C0000141,107.52,0.8322,2023-05-02
450008176,2023-10-18,C0000284,107.06,0.7644,2023-10-19
450008223,2024-05-13,C0000269,19.74,0.0865,2024-05-15
450008231,2023-06-18,C0000282,131.13,1.0071,2023-06-20
450008251,2023-05-02,C0000262,122.81,0.6190,2023-05-03
450008300,2025-05-27,C0000013,2.08,0.0365,2025-05-29
450008324,2024-05-03,C0000179,113.21,0.5026,2024-05-05
450008329,2023-05-30,C0000185,2.97,0.0183,2023-05-31
450008336,2024-11-08,C0000172,97.23,0.5600,2024-11-10
450008352,2023-03-16,C0000270,1.60,0.0068,2023-03-18
450008386,2024-09-29,C0000135,31.54,0.2139,2024-10-01
450008400,2023-07-31,C0000285,74.15,0.4360,2023-08-07
450008404,2023-02-02,C0000233,61.70,0.4664,2023-02-03
450008439,2024-07-16,C0000058,4.60,0.0526,2024-07-18
450008452,2024-10-10,C0000268,36.13,0.1821,2024-10-11
450008454,2023-09-07,C0000156,96.71,0.7427,2023-09-09
450008474,2023-03-20,C0000172,40.35,0.2348,2023-03-21
450008489,2024-10-23,C0000184,126.61,0.9572,2024-10-24
450008492,2025-02-21,C0000113,1.60,0.0121,2025-02-23
450008512,2023-04-28,C0000011,4.86,0.0802,2023-04-30
450008535,2024-02-12,C0000058,97.22,0.6358,2024-02-13
450008651,2023-08-30,C0000285,23.30,0.3611,2023-08-31
450008665,2024-05-01,C0000290,57.79,0.3537,2024-05-03
450008668,2023-01-07,C0000069,61.08,0.2749,2023-01-08
450008674,2024-10-18,C0000171,81.19,0.4043,2024-10-20
450008696,2024-01-28,C0000287,31.53,0.2383,2024-01-29
450008749,2025-04-19,C0000258,79.66,0.5831,2025-04-21
450008807,2023-02-16,C0000049,19.37,0.0953,2023-02-19
450008824,2025-04-20,C0000177,99.56,0.5257,2025-04-22
450008857,2024-09-16,C0000231,54.50,0.3335,2024-09-18
450008906,2024-02-07,C0000259,13.18,0.0728,2024-02-10
450008943,2024-11-04,C0000093,120.29,0.5918,2024-11-05
450008953,2023-06-21,C0000157,17.30,0.0914,2023-06-23
450008977,2023-11-28,C0000134,24.53,0.1516,2023-11-29
450008998,2025-02-06,C0000145,127.76,0.5442,2025-02-07
450009009,2024-06-13,C0000296,154.80,0.6966,2024-06-14
450009023,2024-04-23,C0000067,62.05,0.3686,2024-04-25
450009036,2024-01-13,C0000100,15.68,0.0922,2024-01-15
450009039,2023-09-05,C0000284,17.93,0.1377,2023-09-07
450009092,2025-02-20,C0000041,18.22,0.0984,2025-02-22
450009111,2024-06-23,C0000176,17.14,0.0987,2024-06-25
450009137,2025-01-18,C0000070,27.50,0.1419,2025-01-21
450009151,2023-11-27,C0000288,30.41,0.1806,2023-11-28
450009155,2023-09-10,C0000131,31.58,0.2312,2023-09-11
450009165,2023-02-23,C0000174,31.31,0.4295,2023-02-25
450009170,2024-09-22,C0000228,147.17,0.7947,2024-09-24
450009191,2023-08-20,C0000120,92.39,0.7096,2023-08-22
450009273,2023-05-31,C0000007,119.20,0.6365,2023-06-01
450009274,2023-04-19,C0000076,59.27,0.2916,2023-04-21
450009276,2024-07-18,C0000115,15.61,0.0899,2024-07-20
